ciclo,target,s2_norm,s3_norm,s4_norm,s7_norm,s8_norm,s9_norm,s11_norm,s12_norm,s13_norm,s14_norm,s15_norm,s17_norm,s20_norm,s21_norm,s2_norm_mm,s3_norm_mm,s4_norm_mm,s7_norm_mm,s8_norm_mm,s9_norm_mm,s11_norm_mm,s12_norm_mm,s13_norm_mm,s14_norm_mm,s15_norm_mm,s17_norm_mm,s20_norm_mm,s21_norm_mm
1,0,1.235337490008814,-1.059093242586115,0.4591209315210083,-0.7216202987771737,0.3571118902353287,-0.8318387936966773,0.7679664256746106,-0.2156125365766636,0.6793843373546599,-1.0001150489790311,0.35795913685204245,0.07374055777264124,-0.9229130647105139,-0.779324669177057,1.235337490008814,-1.059093242586115,0.4591209315210083,-0.7216202987771737,0.3571118902353287,-0.8318387936966773,0.7679664256746106,-0.2156125365766636,0.6793843373546599,-1.0001150489790311,0.35795913685204245,0.07374055777264124,-0.9229130647105139,-0.779324669177057
2,0,0.8903577783625998,0.15805301825137216,-0.15852879213489973,-0.5616954391240202,0.19694497756037277,-0.7202348607563099,0.3894492071034154,-0.3394186377745075,0.9995188496141554,-0.7610251064958731,0.3150906903639167,-1.1120341161615548,-0.20347082563907387,-0.27555334688177735,1.062847634185707,-0.4505201121673714,0.15029606969305428,-0.641657868950597,0.2770284338978507,-0.7760368272264937,0.578707816389013,-0.27751558717558555,0.8394515934844076,-0.8805700777374521,0.33652491360797954,-0.5191467791944567,-0.5631919451747939,-0.5274390080294171
3,0,-0.08708473796797746,0.7385147805983295,-0.085986039356517,-0.4308478266805084,0.11686152122107392,-0.6919683624570172,0.2862172384021759,-0.25043300253856404,0.3592498250951643,-1.0721300918956513,0.3436696546893127,0.07374055777264124,-0.542031879319741,-0.7271130755498119,0.6795368434678122,-0.05417514791213777,0.07153536667653053,-0.5713878548605674,0.2236394630055918,-0.7480140056366681,0.4812109570600673,-0.268488058963245,0.6793843373546599,-0.9444234157901853,0.3389064939684239,-0.32151766687209077,-0.5561385898897763,-0.5939970305362153
4,0,0.4687159085728792,-0.8235655641469075,0.45290298128286727,-0.514444912408311,0.5973622592459417,-0.8342755607914089,0.21739592593467472,-0.49417626427177935,0.519317081224912,-1.0629121664023322,0.15790638657423853,-0.5191467791944568,-0.4573916158995892,-0.5323779425617248,0.6268316097440789,-0.2465227519708302,0.16687727032811472,-0.5571521192475033,0.3170701620656793,-0.7695793944253533,0.4152571992787192,-0.32491011029037864,0.6393675233222229,-0.9740456034432219,0.2936564671198776,-0.37092494495268225,-0.5314518463922295,-0.5785922585425928
5,0,0.9286888574343529,0.17780695257209705,0.2591101988606166,-0.45992507389019144,0.03677806488541685,-1.1456943955026815,-0.05788932393528099,-0.46322473897230737,0.43928345315821843,-0.5922218458992985,-0.08501481019165943,1.2595152317068374,-0.11883056221889209,-0.2699088502734401,0.6872030592821338,-0.16165681106224478,0.1853238560346151,-0.537706710176041,0.2610117426296268,-0.844802394640819,0.3206278946359191,-0.3525730360267644,0.599350709289422,-0.8976808519344373,0.21792221165757017,-0.044836909620778354,-0.448927589557562,-0.5168555768887623
6,0,-0.31707121239871433,0.2613812900827791,0.30678115068641165,-0.31090418194061226,0.5172788029102846,-0.8605926454149342,0.25180658216841306,-0.35102545976179295,0.1191489408987229,-0.6849772211759388,-0.004636473026471204,-0.5191467791944568,-0.4997117476096651,-0.6184565158390687,0.5198240140019924,-0.09115046087140743,0.20556673847658116,-0.49990628880346955,0.3037229193430698,-0.8474341031031715,0.30915767589133475,-0.3523151066492691,0.5193170812243054,-0.8622302468080209,0.18082909754356327,-0.12388855454972476,-0.4573916158995792,-0.5337890667138133
7,0,1.1778408714009665,0.5212215030705631,-0.011370636498753925,-0.32907746144667965,0.03677806488541685,-0.5808517829357024,0.59591314450587,-0.2929913498253215,0.3592498250951643,-1.0911420632256348,0.711623820378858,0.07374055777264124,-0.4997117476096651,0.09839455342144424,0.6138264222018458,-0.0036687517368402096,0.17457568490867617,-0.4755021706096424,0.2655879401348336,-0.8093509145078188,0.3501227428362684,-0.343840284245848,0.4964503303487139,-0.89493193486768,0.25665691509146255,-0.0956558242179582,-0.46343734900102,-0.4434771209802051
8,0,0.6028746853242332,-0.12458019587566987,0.6964393656102698,-0.35088539685391096,-0.043305391453882,-0.9463668471507404,0.14857461346719802,-0.22335041790152058,-0.040918315231024883,-0.9223388026291127,0.016797750217559953,-0.5191467791944568,-0.7959526695802562,-0.6163398296109422,0.6124574550921442,-0.018782682254193918,0.23980864499637536,-0.45992507389017595,0.22697627368624418,-0.826477906088184,0.3249292266651346,-0.32877905095280713,0.42927924965124653,-0.898357793337859,0.2266745194822247,-0.14859219359002052,-0.5050017640734246,-0.4650849595590472
9,0,-0.6620509240447107,0.4482838994248681,-0.19272751844469896,-0.46355972979139665,0.11686152122107392,-0.6495686150081225,0.3550385508696526,-0.39745274771097894,-0.20098557136077266,-1.0133658168757165,0.5026401437493558,0.6666278947397393,-0.07651043050881622,-0.8802200460513113,0.470845412965827,0.0331136045990352,0.19174907128070043,-0.46032892454586716,0.21474130119011414,-0.8068213181903994,0.3282747071323032,-0.3364094617037151,0.3592498250943555,-0.9111364626198433,0.25733736662301704,-0.05801218377560277,-0.45739161589957916,-0.5112110802804098
10,0,-0.10625027750385403,-0.12609972928495375,0.47362948207669425,-0.48173300929742274,0.5172788029102846,-1.0896487523229714,0.04534264476595851,-0.5754240181828657,0.1191489408987229,-0.9211865619424217,0.874166679979536,-0.5191467791944568,-0.03419029879874035,-0.2840200917943083,0.41313584391885894,0.017192271210636302,0.21993711236029984,-0.46246933302102267,0.2449950513621312,-0.8351040616036565,0.2999815008956688,-0.3603109173516302,0.33523973667479223,-0.912141472552101,0.31902029795866893,-0.10412564331748819,-0.41507148418949524,-0.4884919814317997
